도엽번호,도엽명,축척,고시일자,지도종류,촬영연도,조사연도,제작연도,고시번호
336071336,제주1336,1000,2008-12-30,3,2008,2008,2008,2008-875
359130686,부산0686,1000,2005-02-04,3,2004,2004,2004,2005-124
359130687,부산0687,1000,2005-02-04,3,2004,2004,2004,2005-124
359130688,부산0688,1000,2005-02-04,3,2004,2004,2004,2005-124
359130689,부산0689,1000,2005-02-04,3,2004,2004,2004,2005-124
359130690,부산0690,1000,2005-02-04,3,2004,2004,2004,2005-124
359130691,부산0691,1000,2007-11-21,3,2007,2007,2007,2007-632
359130692,부산0692,1000,2007-11-21,3,2007,2007,2007,2007-632
359130694,부산0694,1000,2005-02-04,3,2004,2004,2004,2005-124
359130695,부산0695,1000,2005-02-04,3,2004,2004,2004,2005-124
359130696,부산0696,1000,2005-02-04,3,2004,2004,2004,2005-124
359130697,부산0697,1000,2005-02-04,3,2004,2004,2004,2005-124
359130698,부산0698,1000,2005-02-04,3,2004,2004,2004,2005-124
359130699,부산0699,1000,2005-02-04,3,2004,2004,2004,2005-124
359130700,부산0700,1000,2006-12-29,3,2006,2006,2006,2006-755
359130701,부산0701,1000,2006-12-29,3,2006,2006,2006,2006-755
359130702,부산0702,1000,2006-12-29,3,2006,2006,2006,2006-755
359130703,부산0703,1000,2006-12-29,3,2006,2006,2006,2006-755
359130704,부산0704,1000,2006-12-29,3,2006,2006,2006,2006-755
359130705,부산0705,1000,2006-12-29,3,2006,2006,2006,2006-755
359130706,부산0706,1000,2006-12-29,3,2006,2006,2006,2006-755
359130707,부산0707,1000,2006-12-29,3,2006,2006,2006,2006-755
359130708,부산0708,1000,2006-12-29,3,2006,2006,2006,2006-755
359130709,부산0709,1000,2006-12-29,3,2006,2006,2006,2006-755
359130710,부산0710,1000,2006-12-29,3,2006,2006,2006,2006-755
359130711,부산0711,1000,2006-12-29,3,2006,2006,2006,2006-755
359130712,부산0712,1000,2006-12-29,3,2006,2006,2006,2006-755
359130713,부산0713,1000,2006-12-29,3,2006,2006,2006,2006-755
359130714,부산0714,1000,2006-12-29,3,2006,2006,2006,2006-755
359130715,부산0715,1000,2006-12-29,3,2006,2006,2006,2006-755
359130716,부산0716,1000,2006-12-29,3,2006,2006,2006,2006-755
359130717,부산0717,1000,2006-12-29,3,2006,2006,2006,2006-755
359130718,부산0718,1000,2006-12-29,3,2006,2006,2006,2006-755
359130719,부산0719,1000,2006-12-29,3,2006,2006,2006,2006-755
359130720,부산0720,1000,2006-12-29,3,2006,2006,2006,2006-755
359130721,부산0721,1000,2006-12-29,3,2006,2006,2006,2006-755
359130722,부산0722,1000,2006-12-29,3,2006,2006,2006,2006-755
359130723,부산0723,1000,2006-12-29,3,2006,2006,2006,2006-755
359130724,부산0724,1000,2006-12-29,3,2006,2006,2006,2006-755
359130725,부산0725,1000,2006-12-29,3,2006,2006,2006,2006-755
359130726,부산0726,1000,2006-12-29,3,2006,2006,2006,2006-755
359130727,부산0727,1000,2006-12-29,3,2006,2006,2006,2006-755
359130728,부산0728,1000,2006-12-29,3,2006,2006,2006,2006-755
359130729,부산0729,1000,2006-12-29,3,2006,2006,2006,2006-755
359130730,부산0730,1000,2006-12-29,3,2006,2006,2006,2006-755
359130731,부산0731,1000,2006-12-29,3,2006,2006,2006,2006-755
359130732,부산0732,1000,2006-12-29,3,2006,2006,2006,2006-755
359130733,부산0733,1000,2006-12-29,3,2006,2006,2006,2006-755
359130734,부산0734,1000,2006-12-29,3,2006,2006,2006,2006-755
